index,Population_Density,Unemployment_Rate,Police_Station_Distance,Number_of_Schools,Average_Income,Age_Group_Ratio_15_24,Age_Group_Ratio_25_44,Age_Group_Ratio_45_plus,Poverty_Rate,School_Dropout_Rate,Housing_Quality,Access_to_Public_Transport,Recreational_Facilities,Single_Parent_Household_Rate,CCTV_Cameras,Drug_Hospital_Admissions,Police_Patrol_Frequency,Emergency_Response_Time,Youth_Unemployment_Rate,Alcohol_Outlet_Density,Distance_to_High_Risk_Areas,Mental_Health_Services,Total_Crime_in_Month
0,283977,5.3%,1.3,270,75334,24.4,72.9,2.7,93.4,33.9,61.3,83.1,694,75.3,787,1774,448,81.5,15.0,250,23.3,185,183
1,409705,35.3,17.3,458,86717,95.2,1.2,3.6,58.7,79.8,45.6,35.9,720,40.2,394,4150,146,66.5,64.7,370,13.6,338,529
2,112779,92.8%,9.8,397,86482,2.6,78.9,18.5,67.4,51.9,99.4,28.5,421,51.0,82,1802,156,443.8,100.0,383,33.1,310,331
3,633945,40.8,19.9,177,33704,53.7,40.3,6.0,41.7,7.3,75.2,75.9,156,60.3,843,2671,299,343.6,80.6,203,26.5,160,347
4,607368,5.9,21.7,716,77833,20.1,19.3,60.6,94.5,5.9,61.7,90.5,343,75.7,520,3569,81,125.3,17.4,343,9.0,16,468
5,7894,72.7,14.6,875,49947,12.4,14.9,72.7,91.2,53.6,64.9,97.6,261,7.6,304,9873,234,285.8,99.6,424,13.7,275,1000
6,997330,25.7,10.0,984,59890,40.9,10.9,48.1,91.9,8.1,5.8,27.6,109,66.7,909,5058,214,80.2,52.7,363,45.6,5,630
7,248417,75.1,15.8,575,11757,34.8,30.7,34.5,38.9,59.1,91.6,89.9,794,70.5,624,7112,303,305.6,100.0,86,8.6,65,763
8,839463,93.5,1.8,793,89303,20.1,29.7,50.2,97.8,18.2,49.4,60.9,624,38.7,585,5068,208,43.5,100.0,15,1.7,320,623
9,94095,7.6%,5.8,207,38448,58.3,22.9,18.9,72.4,23.0,45.6,88.5,872,31.6,432,3438,328,158.4,11.0,27,5.1,180,315
10,418371,39.3,3.8,104,56832,17.9,7.3,74.8,7.0,33.5,25.2,50.7,614,74.5,576,4624,141,345.4,100.0,110,16.0,192,517
11,28735,56.3,13.5,608,64385,54.9,5.8,39.3,51.4,19.2,85.4,66.8,658,23.0,738,3156,169,324.2,100.0,351,19.0,420,392
12,810613,1.2,21.8,295,91399,53.4,27.5,19.1,46.1,51.9,19.0,74.5,499,15.7,195,9823,161,489.7,2.5,75,23.4,14,1000
13,968001,96.5,19.5,555,95461,63.6,27.2,9.2,27.3,43.1,13.7,92.8,519,76.7,909,1339,284,213.5,100.0,143,34.2,333,245
14,762938,47.1,18.0,333,43680,14.9,70.7,14.4,9.5,57.7,84.4,37.0,504,16.5,890,5784,40,361.0,100.0,338,28.8,95,701
15,422790,97.9,27.4,633,17272,21.5,30.6,48.0,41.2,17.0,52.7,93.4,326,76.3,695,3712,468,392.6,100.0,195,21.2,377,438
16,146232,90.7,19.3,909,69028,22.8,18.1,59.1,8.8,36.1,29.6,97.0,601,31.1,49,923,33,73.9,100.0,382,37.8,228,231
17,648988,74.8,1.8,86,41492,32.2,20.1,47.7,81.5,35.4,70.5,77.7,665,49.8,466,8439,360,102.2,85.7,163,9.7,374,961
18,847273,56.3,4.6,181,26666,22.0,2.8,75.2,5.2,59.5,28.0,11.8,968,90.2,800,6513,133,148.7,100.0,325,36.7,253,774
19,712096,66.0,29.9,256,99410,0.5,86.8,12.7,64.4,83.8,27.4,56.5,209,64.4,816,8028,324,453.8,100.0,382,25.1,182,944
20,717040,87.3,11.2,304,11511,40.7,32.9,26.4,14.3,7.8,74.8,82.3,626,81.7,208,650,231,241.7,100.0,442,21.9,269,251
